participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0228,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$100,000 to $149,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Pacific Northwest accent,,English,,English,,Washington,,United States,,Washington,Smartphone,,Samsung a15,"At least once per week, but not every day",Daily or more,Very well,,859
P0236,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$70,000 to $79,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Missouri,,United States,,Missouri,Laptop/Computer with external microphone,,HyperX Cloud Stinger Core Headset,Daily or more,Daily or more,Very well,Not that I have found.,914
P0225,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$100,000 to $149,999",Master's degree,Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,"Spanish,Other","Spanish, Dutch",Tennessee,,United States,,Tennessee,Tablet,,iPad 5,Only a few times,Only a few times,Moderately well,They sometimes miss words if I do not clearly enunciate. ,978
P0224,new_recruits,White,Male,SAE,True,True,wh_ma,True,25-34,"$30,000 to $39,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Louisiana,,United States,,Louisiana,Smartphone,,Motorola g,"At least once per month, but not every week","At least once per week, but not every day",Very well,"Most of the time they work great, other times they fail to understand or properly give feedback despite the context given ",1009
P0212,new_recruits,White,Male,SAE,True,True,wh_ma,True,18-24,"$90,000 to $99,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with external microphone,,Hyper X Solocast,Daily or more,"At least once per week, but not every day",Very well,"not really, maybe sometimes they wont understand what i say, but for the most part they do",1272
P0222,new_recruits,White,Male,SAE,True,True,wh_ma,True,25-34,"$60,000 to $69,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Michigan,,United States,,Michigan,Laptop/Computer with built-in microphone,,HP chromebook,Only a few times,Not at all,Moderately well,no,1226
P0235,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$150,000 or more",Doctoral degree,Man,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Minnesota,,United States,,Minnesota,Smartphone,,Pixel 7,Only a few times,"At least once per week, but not every day",Slightly well,They have been a pain so I never use them ,829
P0200,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$20,000 to $29,999",Associate degree in college (2-year),Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Hawaii,,United States,,Florida,Laptop/Computer with built-in microphone,,Asus Chromebook,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Sometime they get things wrong or they point to information from a bad source.,1089
P0217,new_recruits,White,Male,SAE,True,True,wh_ma,True,35-44,"$80,000 to $89,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Kansas,,United States,,"Kansas,Texas",Laptop/Computer with built-in microphone,,Lenovo 82C6,"At least once per week, but not every day","At least once per month, but not every week",Very well,Not that I can think of.,966
P0239,new_recruits,White,Male,SAE,True,True,wh_ma,True,35-44,"$60,000 to $69,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Texas,Smartphone,,iPhone 15 Pro,Not at all,Not at all,Moderately well,Often times Siri didn’t seem to hear me at all when I tried it. ,824
P0223,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$40,000 to $49,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,New England accent,,French,,English,,Connecticut,,United States,,Connecticut,Laptop/Computer with built-in microphone,,macbookpro14,"At least once per week, but not every day","At least once per month, but not every week",Moderately well,not understanding my accent,1424
P0229,new_recruits,White,Male,SAE,True,True,wh_ma,True,25-34,"$100,000 to $149,999","Professional degree (JD, MD)",Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Wisconsin,,United States,,Wisconsin,Laptop/Computer with built-in microphone,,Lenovo Yoga,Daily or more,"At least once per week, but not every day",Slightly well,Unintentionally activating or misunderstanding my prompts/queries,968
P0247,new_recruits,White,Male,SAE,True,True,wh_ma,True,35-44,"$30,000 to $39,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with external microphone,,Windows 11 Home PC,"At least once per month, but not every week","At least once per week, but not every day",Moderately well,sometimes it mixes up my words when I talk to it.,1154
P0204,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$60,000 to $69,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,ASUS C434T Chromebook,"At least once per week, but not every day","At least once per week, but not every day",Very well,"occasionally they do not understand me, but I would not necessarily say they underperform since people sometimes misunderstand as well",1303
P0198,new_recruits,White,Male,SAE,True,True,wh_ma,True,18-24,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,"English,Spanish",,Ohio,,United States,,Ohio,Smartphone,,iPhone 15 Plus,Daily or more,Daily or more,Moderately well,It doesn’t seem to give me the information I need or understand me when I’m trying to send a text,1077
P0242,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$30,000 to $39,999",Less than high school degree,Man,White or European American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,English,,New Jersey,,United States,,New Jersey,Smartphone,,iPhone 14 Pro ,"At least once per week, but not every day",Only a few times,Moderately well,"Alexa sometimes mishears me, not getting some words. ",1368
P0227,new_recruits,White,Male,SAE,True,True,wh_ma,True,45-54,"$100,000 to $149,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,New Jersey,,United States,,New Jersey,Smartphone,,Samsung Galaxy a15,Daily or more,Daily or more,Very well,"No, I have been very pleased",1452
P0249,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$40,000 to $49,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,"Southern accent,Pacific Northwest accent",,English,,English,,Oregon,,United States,,Florida,Laptop/Computer with built-in microphone,,Lenovo ThinkPad X1 Yoga Gen 6,Daily or more,"At least once per week, but not every day",Moderately well,difficulty with homonyms,909
P0202,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,"California accent,Standard American English",,English,,English,,California,,United States,,California,Laptop/Computer with built-in microphone,,HP Envy x360,Not at all,"At least once per week, but not every day",Slightly well,"I don't use them but on the rare occasions I did, they would sometimes misunderstand me.",1706
P0219,new_recruits,White,Male,SAE,True,True,wh_ma,True,55-64,"$150,000 or more",Master's degree,Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Illinois,,United States,,Illinois,Laptop/Computer with built-in microphone,,Dell Intel VPro Essentials,"At least once per week, but not every day",Daily or more,Moderately well,,1170
P0234,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$20,000 to $29,999",Some college but no degree,Man,White or European American,,I speak English fluently as a first language,"Mid Atlantic accent,Standard American English",,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with built-in microphone,,HP laptop,"At least once per week, but not every day",Daily or more,Very well,sometimes siri doesn't understand me,1945
P0221,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$90,000 to $99,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,English,,New Jersey,,United States,,New Jersey,Laptop/Computer with built-in microphone,,Dell Vostro 3520,"At least once per month, but not every week",Daily or more,Moderately well,"It's useful sometimes, but i've had to say the same thing more than once too often for it to be a real value add for me",1020
P0231,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,25-34,"$80,000 to $89,999",Some college but no degree,Man,Hispanic or Latino,,I speak English fluently as a first language,California accent,,Spanish,,"English,Spanish",,California,,United States,,California,Smartphone,,Samsung galaxy a14,"At least once per week, but not every day",Daily or more,Very well,No it was good,1366
P0209,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,45-54,"$150,000 or more",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with built-in microphone,,Panasonic Toughbook CF-54,Daily or more,Daily or more,Extremely well,The AI used in Siri and Alexa is not as sophisticated as Chat GPT or Grok. ,1562
P0240,new_recruits,White,Male,SAE,True,True,wh_ma,True,45-54,"$30,000 to $39,999",High school graduate (high school diploma or equivalent including GED),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Virginia,,United States,,Virginia,Laptop/Computer with external microphone,,Shure SM7B,Only a few times,Daily or more,Slightly well,not really,1010
P0213,new_recruits,White,Male,non-SAE,True,True,wh_ma,True,35-44,"$70,000 to $79,999",Bachelor's degree in college (4-year),Man,White or European American,,I speak English fluently as a first language,New England accent,,English,,English,,Massachusetts,,United States,,Massachusetts,Laptop/Computer with built-in microphone,,Macbook Air A1466,Only a few times,Only a few times,Slightly well,I feel like when searching for music and movies they have trouble with nuance,1711
P0211,new_recruits,White,Male,SAE,True,True,wh_ma,True,55-64,"$50,000 to $59,999",Associate degree in college (2-year),Man,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,Florida,Smartphone,,Motorola Moto g,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,They have performed for the most part well for me. About the only times they have underperformed is when I kind of had some kind of lengthy speech that they may have lost some of the translation to or just misunderstood what I said but other than that it hasn't been bad.,1871
