clip_id,participant_id,cohort,question_id,prompt_type,voiceform_question_order,audio_path
P0001_q01,P0001,new_recruits,1.0,scenario,69,audio/new_recruits/P0001/P0001_q01.wav
P0001_q04,P0001,new_recruits,4.0,scenario,72,audio/new_recruits/P0001/P0001_q04.wav
P0001_q05,P0001,new_recruits,5.0,scenario,73,audio/new_recruits/P0001/P0001_q05.wav
P0001_q07,P0001,new_recruits,7.0,scenario,75,audio/new_recruits/P0001/P0001_q07.wav
P0001_q10,P0001,new_recruits,10.0,scenario,78,audio/new_recruits/P0001/P0001_q10.wav
P0001_q11,P0001,new_recruits,11.0,scenario,79,audio/new_recruits/P0001/P0001_q11.wav
P0001_q12,P0001,new_recruits,12.0,scenario,80,audio/new_recruits/P0001/P0001_q12.wav
P0001_q14,P0001,new_recruits,14.0,scenario,82,audio/new_recruits/P0001/P0001_q14.wav
P0001_q15,P0001,new_recruits,15.0,scenario,83,audio/new_recruits/P0001/P0001_q15.wav
P0001_q16,P0001,new_recruits,16.0,scenario,84,audio/new_recruits/P0001/P0001_q16.wav
P0001_q18,P0001,new_recruits,18.0,scenario,86,audio/new_recruits/P0001/P0001_q18.wav
P0001_q20,P0001,new_recruits,20.0,scenario,88,audio/new_recruits/P0001/P0001_q20.wav
P0001_q23,P0001,new_recruits,23.0,scenario,91,audio/new_recruits/P0001/P0001_q23.wav
P0001_q24,P0001,new_recruits,24.0,scenario,92,audio/new_recruits/P0001/P0001_q24.wav
P0001_q25,P0001,new_recruits,25.0,scenario,93,audio/new_recruits/P0001/P0001_q25.wav
P0001_q26,P0001,new_recruits,26.0,scenario,94,audio/new_recruits/P0001/P0001_q26.wav
P0001_q27,P0001,new_recruits,27.0,scenario,95,audio/new_recruits/P0001/P0001_q27.wav
P0001_q29,P0001,new_recruits,29.0,scenario,97,audio/new_recruits/P0001/P0001_q29.wav
P0001_q33,P0001,new_recruits,33.0,scenario,101,audio/new_recruits/P0001/P0001_q33.wav
P0001_q42,P0001,new_recruits,42.0,scenario,110,audio/new_recruits/P0001/P0001_q42.wav
P0001_q43,P0001,new_recruits,43.0,scenario,111,audio/new_recruits/P0001/P0001_q43.wav
P0001_q44,P0001,new_recruits,44.0,scenario,112,audio/new_recruits/P0001/P0001_q44.wav
P0001_q45,P0001,new_recruits,45.0,scenario,113,audio/new_recruits/P0001/P0001_q45.wav
P0001_q48,P0001,new_recruits,48.0,scenario,116,audio/new_recruits/P0001/P0001_q48.wav
P0001_q49,P0001,new_recruits,49.0,scenario,117,audio/new_recruits/P0001/P0001_q49.wav
P0001_q52,P0001,new_recruits,52.0,scenario,120,audio/new_recruits/P0001/P0001_q52.wav
P0001_q53,P0001,new_recruits,53.0,scenario,121,audio/new_recruits/P0001/P0001_q53.wav
P0001_q54,P0001,new_recruits,54.0,scenario,122,audio/new_recruits/P0001/P0001_q54.wav
P0001_q58,P0001,new_recruits,58.0,scenario,126,audio/new_recruits/P0001/P0001_q58.wav
P0001_q59,P0001,new_recruits,59.0,scenario,127,audio/new_recruits/P0001/P0001_q59.wav
P0001_q62,P0001,new_recruits,62.0,scenario,130,audio/new_recruits/P0001/P0001_q62.wav
P0001_q63,P0001,new_recruits,63.0,scenario,131,audio/new_recruits/P0001/P0001_q63.wav
P0001_q64,P0001,new_recruits,64.0,scenario,132,audio/new_recruits/P0001/P0001_q64.wav
P0001_q65,P0001,new_recruits,65.0,scenario,133,audio/new_recruits/P0001/P0001_q65.wav
P0001_q68,P0001,new_recruits,68.0,scenario,136,audio/new_recruits/P0001/P0001_q68.wav
P0001_q70,P0001,new_recruits,70.0,suffix_number,138,audio/new_recruits/P0001/P0001_q70.wav
