participant_id,in_full,in_audit_eligible,in_strict_audit,in_balanced
P0001,True,True,True,True
P0002,True,False,False,False
P0003,True,True,True,True
P0004,True,True,True,True
P0005,True,True,True,True
P0006,True,True,True,True
P0007,True,True,True,True
P0008,True,True,True,True
P0009,True,True,True,True
P0010,True,True,True,True
P0011,True,True,True,True
P0012,True,True,True,True
P0013,True,True,True,True
P0014,True,True,True,True
P0015,True,True,True,True
P0016,True,True,True,True
P0017,True,True,True,True
P0018,True,True,True,True
P0019,True,True,True,True
P0020,True,True,True,True
P0021,True,True,True,True
P0022,True,True,True,True
P0023,True,True,False,False
P0024,True,True,True,True
P0025,True,True,True,True
P0026,True,True,True,True
P0027,True,True,True,True
P0028,True,True,True,True
P0029,True,True,True,True
P0030,True,True,True,True
P0031,True,True,True,True
P0032,True,True,True,True
P0033,True,True,True,True
P0034,True,True,True,True
P0035,True,False,False,False
P0036,True,True,True,True
P0037,True,True,True,True
P0038,True,True,True,True
P0039,True,True,True,True
P0040,True,True,True,True
P0041,True,True,True,True
P0042,True,True,True,True
P0043,True,True,True,True
P0044,True,True,True,True
P0045,True,True,True,True
P0046,True,True,True,True
P0047,True,True,True,True
P0048,True,True,True,True
P0049,True,True,True,True
P0050,True,True,True,True
P0051,True,True,True,True
P0052,True,True,True,True
P0053,True,True,True,True
P0054,True,True,True,True
P0055,True,True,True,True
P0056,True,True,True,True
P0057,True,True,True,True
P0058,True,True,True,True
P0059,True,True,False,False
P0060,True,True,True,True
P0061,True,True,True,True
P0062,True,True,True,True
P0063,True,True,True,True
P0064,True,True,True,True
P0065,True,False,False,False
P0066,True,True,True,True
P0067,True,True,True,True
P0068,True,True,True,True
P0069,True,True,True,True
P0070,True,True,True,True
P0071,True,True,True,True
P0072,True,True,True,True
P0073,True,True,True,True
P0074,True,True,True,True
P0075,True,True,True,True
P0076,True,True,True,True
P0077,True,True,True,True
P0078,True,True,True,True
P0079,True,True,True,True
P0080,True,True,True,True
P0081,True,True,True,True
P0082,True,True,True,True
P0083,True,True,True,True
P0084,True,True,True,True
P0085,True,True,True,True
P0086,True,True,True,True
P0087,True,True,True,True
P0088,True,True,True,True
P0089,True,True,True,True
P0090,True,True,True,True
P0091,True,True,True,True
P0092,True,True,True,True
P0093,True,True,True,True
P0094,True,True,True,True
P0095,True,False,False,False
P0096,True,True,True,True
P0097,True,True,True,True
P0098,True,True,True,True
P0099,True,True,True,True
P0100,True,True,True,True
P0101,True,True,True,True
P0102,True,True,True,True
P0103,True,True,True,True
P0104,True,True,True,True
P0105,True,True,True,True
P0106,True,True,True,True
P0107,True,True,True,True
P0108,True,True,True,True
P0109,True,True,True,True
P0110,True,True,True,True
P0111,True,True,True,True
P0112,True,True,True,True
P0113,True,True,True,True
P0114,True,True,True,True
P0115,True,True,True,True
P0116,True,True,True,True
P0117,True,True,True,True
P0118,True,True,True,True
P0119,True,True,True,True
P0120,True,True,True,True
P0121,True,True,True,True
P0122,True,False,False,False
P0123,True,True,True,True
P0124,True,True,True,True
P0125,True,True,True,True
P0126,True,True,True,True
P0127,True,True,True,True
P0128,True,False,False,False
P0129,True,True,True,True
P0130,True,True,True,True
P0131,True,True,True,True
P0132,True,True,True,True
P0133,True,True,True,True
P0134,True,True,True,True
P0135,True,True,True,True
P0136,True,True,True,True
P0137,True,True,True,True
P0138,True,True,True,True
P0139,True,True,True,True
P0140,True,True,True,True
P0141,True,True,True,True
P0142,True,True,True,True
P0143,True,True,True,False
P0144,True,True,True,True
P0145,True,True,True,True
P0146,True,True,True,True
P0147,True,True,True,True
P0148,True,True,True,True
P0149,True,True,True,True
P0150,True,True,True,True
P0151,True,True,True,True
P0152,True,True,True,True
P0153,True,True,True,True
P0154,True,True,True,True
P0155,True,True,True,True
P0156,True,True,True,True
P0157,True,True,True,True
P0158,True,True,True,True
P0159,True,True,True,True
P0160,True,True,True,True
P0161,True,True,True,True
P0162,True,True,True,True
P0163,True,True,True,True
P0164,True,True,True,True
P0165,True,True,True,True
P0166,True,True,True,True
P0167,True,True,True,True
P0168,True,True,True,True
P0169,True,True,True,True
P0170,True,True,True,True
P0171,True,True,True,True
P0172,True,True,True,True
P0173,True,True,True,True
P0174,True,True,True,True
P0175,True,True,True,True
P0176,True,True,True,True
P0177,True,True,True,True
P0178,True,True,True,True
P0179,True,True,True,True
P0180,True,True,True,True
P0181,True,True,True,True
P0182,True,True,True,True
P0183,True,True,True,True
P0184,True,True,True,True
P0185,True,True,True,True
P0186,True,True,True,True
P0187,True,True,True,True
P0188,True,True,True,True
P0189,True,True,True,True
P0190,True,True,True,True
P0191,True,True,True,True
P0192,True,True,True,True
P0193,True,True,True,True
P0194,True,True,True,True
P0195,True,True,True,True
P0196,True,True,True,True
P0197,True,True,True,True
P0198,True,True,True,True
P0199,True,True,True,True
P0200,True,True,True,True
P0201,True,True,True,True
P0202,True,True,True,True
P0203,True,True,True,True
P0204,True,True,True,True
P0205,True,True,True,True
P0206,True,True,True,True
P0207,True,True,True,True
P0208,True,True,True,True
P0209,True,True,True,True
