model_id,axis,scenario,SMD,ci_lo,ci_hi,raw_p,n_boot_finite,BH_q_family11,sig_family11,ci_excludes_0,BH_q_pooled66,sig_pooled66
gemini-3.1-flash-lite-preview,race,Purchasing Goods and Services,-0.361195081829486,-0.4803720693793493,-0.246895969408707,0.000999500249875,2000,0.0054972513743128,True,True,0.032983508245875,True
gemini-3.1-flash-lite-preview,race,Politics,0.2866536496163165,0.1298823835056208,0.4482648134280689,0.000999500249875,2000,0.0054972513743128,True,True,0.032983508245875,True
Qwen/Qwen2.5-Omni-7B,race,Household Activities,0.2036703215543186,0.0760355108957691,0.3421884671173583,0.0049975012493753,2000,0.0549725137431284,False,True,0.09895052473762996,False
gemini-3.1-flash-lite-preview,gender,Household Activities,-0.3894258641247156,-0.6657826925051403,-0.1300693137512831,0.0059970014992503,2000,0.0659670164917541,False,True,0.09895052473762996,False
Qwen/Qwen2.5-Omni-7B,gender,Educational Activities,-0.2410448783186349,-0.4172019929650108,-0.0578788665569783,0.0109945027486256,2000,0.1209395302348825,False,True,0.12093953023488162,False
gemini-3.1-flash-lite-preview,race,Work-related Activities,0.2134332739401256,0.0429509793364106,0.382166243902455,0.0109945027486256,2000,0.0403131767449608,True,True,0.12093953023488162,False
Qwen/Qwen2.5-Omni-7B,race,Purchasing Goods and Services,0.1265378745519396,0.0073769319395088,0.2406120215415072,0.0309845077461269,2000,0.1282691987339663,False,True,0.28860569715142353,False
Qwen/Qwen2.5-Omni-7B,race,Politics,-0.1346320861498025,-0.2656167391290327,-0.0083574689988009,0.0349825087456271,2000,0.1282691987339663,False,True,0.28860569715142353,False
gemini-3.1-flash-lite-preview,race,Household Activities,0.2699813598543541,0.0127935510638262,0.5451230684318297,0.0429785107446276,2000,0.1181909045477261,False,True,0.3151757454606024,False
Qwen/Qwen2.5-Omni-7B,race,Caring Household Members,0.119800420123261,-0.0128018057650709,0.2458356363348271,0.0679660169915042,2000,0.1869065467266366,False,False,0.4485757121439278,False
gpt-audio-1.5,race,Finance,0.1058827592744235,-0.0160684127779449,0.2050180905698919,0.0789605197401299,2000,0.775112443778111,False,False,0.4737631184407794,False
gemini-3.1-flash-lite-preview,race,Caring Household Members,-0.0968435820220185,-0.2154050517036987,0.0315995940839912,0.128935532233883,2000,0.2836581709145427,False,False,0.683229813664596,False
gpt-audio-1.5,race,Purchasing Goods and Services,0.0672836379745273,-0.0241998213631462,0.1555269553507955,0.1409295352323838,2000,0.775112443778111,False,False,0.683229813664596,False
Qwen/Qwen2.5-Omni-7B,gender,Work-related Activities,-0.1057175697652382,-0.2585743826450689,0.0414736049480255,0.144927536231884,2000,0.7256371814092953,False,False,0.683229813664596,False
gemini-3.1-flash-lite-preview,gender,Purchasing Goods and Services,-0.079937018171863,-0.198208242977903,0.0329158699540791,0.1659170414792603,2000,0.912543728135932,False,False,0.7300349825087454,False
Qwen/Qwen2.5-Omni-7B,race,Leisure and Sports,0.0684830906315198,-0.0306419943386887,0.1585547000120161,0.2018990504747626,2000,0.4441779110444777,False,False,0.8135932033983009,False
gpt-audio-1.5,gender,Caring Household Members,0.0618736618715246,-0.0360614134111814,0.1579768614906563,0.2358820589705147,2000,0.913543228385807,False,False,0.8135932033983009,False
gpt-audio-1.5,gender,Educational Activities,-0.0760075193808384,-0.2077134087689951,0.0511731908093495,0.2488755622188905,2000,0.913543228385807,False,False,0.8135932033983009,False
gpt-audio-1.5,gender,Purchasing Goods and Services,-0.0491416909339446,-0.1449111016685928,0.0325378857117188,0.2548725637181409,2000,0.913543228385807,False,False,0.8135932033983009,False
Qwen/Qwen2.5-Omni-7B,gender,Purchasing Goods and Services,-0.0714375210241723,-0.1993072567337158,0.0504520657681107,0.271864067966017,2000,0.7256371814092953,False,False,0.8135932033983009,False
gemini-3.1-flash-lite-preview,race,Educational Activities,0.1607505569287981,-0.1277179261354402,0.4545327052252785,0.2838580709645177,2000,0.4439030484757621,False,False,0.8135932033983009,False
gemini-3.1-flash-lite-preview,race,Personal Care,0.0741965557455858,-0.063505052277739,0.1890780419131081,0.3018490754622688,2000,0.4439030484757621,False,False,0.8135932033983009,False
Qwen/Qwen2.5-Omni-7B,gender,Politics,0.0651868759420449,-0.0650030838747352,0.194750208169173,0.3118440779610195,2000,0.7256371814092953,False,False,0.8135932033983009,False
gemini-3.1-flash-lite-preview,race,Leisure and Sports,-0.0711145895923044,-0.2039458564347997,0.0691521104079906,0.3228385807096451,2000,0.4439030484757621,False,False,0.8135932033983009,False
gpt-audio-1.5,race,Leisure and Sports,0.0567240562372698,-0.0532249707970367,0.1560969267325371,0.3248375812093953,2000,0.943328335832084,False,False,0.8135932033983009,False
Qwen/Qwen2.5-Omni-7B,gender,Health,-0.0841082300862661,-0.2505638630505833,0.0783624166816231,0.3298350824587706,2000,0.7256371814092953,False,False,0.8135932033983009,False
gemini-3.1-flash-lite-preview,gender,Finance,-0.0887636737731652,-0.2704753725232261,0.0910875945532759,0.3328335832083958,2000,0.962518740629685,False,False,0.8135932033983009,False
Qwen/Qwen2.5-Omni-7B,race,Work-related Activities,0.0662284761450665,-0.0826131175230292,0.2188415851403499,0.3558220889555222,2000,0.6523404964184575,False,False,0.8387234953951594,False
gpt-audio-1.5,gender,Finance,-0.0433073502967979,-0.1587571907532046,0.0667525834419681,0.3968015992003998,2000,0.913543228385807,False,False,0.9030657085250479,False
gpt-audio-1.5,gender,Politics,-0.0354674445004083,-0.1417041897105347,0.0629048171044065,0.4937531234382808,2000,0.913543228385807,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,gender,Caring Household Members,0.0394547218509662,-0.0952707540215564,0.1757484297954859,0.5307346326836582,2000,0.95952023988006,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,race,Personal Care,0.0367107393192542,-0.079593274898196,0.1336973974369336,0.5337331334332833,2000,0.762743628185907,False,False,0.9715142428785608,False
gpt-audio-1.5,race,Caring Household Members,0.0301954918871727,-0.0661135532397386,0.1196248604637608,0.5347326336831584,2000,0.943328335832084,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,race,Finance,-0.0376811861577012,-0.164148378176858,0.0828424630885743,0.5547226386806596,2000,0.762743628185907,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,race,Health,0.0565133666324922,-0.131711862425419,0.2360598819093131,0.5647176411794103,2000,0.6902104503303903,False,False,0.9715142428785608,False
gpt-audio-1.5,gender,Leisure and Sports,-0.0238791697155066,-0.1319439147329054,0.0778227544970638,0.5937031484257871,2000,0.913543228385807,False,False,0.9715142428785608,False
gpt-audio-1.5,gender,Civic and Religious Activities,0.0245244075990201,-0.067494817342933,0.113487791116923,0.6026986506746627,2000,0.913543228385807,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,gender,Leisure and Sports,0.0231833115526149,-0.081200014653469,0.1229524812400088,0.6126936531734133,2000,0.95952023988006,False,False,0.9715142428785608,False
gpt-audio-1.5,race,Personal Care,0.0422390835716939,-0.0974552050188443,0.15561456248195,0.6426786606696652,2000,0.943328335832084,False,False,0.9715142428785608,False
gpt-audio-1.5,race,Educational Activities,0.0326927278365536,-0.1048078505001293,0.1580710963402434,0.6456771614192903,2000,0.943328335832084,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,gender,Caring Household Members,-0.0342823741923684,-0.1500969236018128,0.1039639333677207,0.657671164417791,2000,0.962518740629685,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,race,Finance,-0.0412904681144188,-0.2269059944121882,0.1446398542353889,0.6816591704147926,2000,0.7498250874562719,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,gender,Personal Care,-0.0231746605933929,-0.1508240973671837,0.1148611289770939,0.7396301849075462,2000,0.962518740629685,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,gender,Health,-0.0352244787298948,-0.2344376327485048,0.1871115846927185,0.7446276861569215,2000,0.962518740629685,False,False,0.9715142428785608,False
