model_id,condition,winsorize_pct,scenario,axis,point,ci_lo,ci_hi,n_prompts,n_iters_with_data_race,n_boot_finite
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Civic and Religious Activities,accent,0.0139834967829505,-0.1256008593213508,0.1628148785672746,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Civic and Religious Activities,gender,0.0151258306887016,-0.1295433112596417,0.1609307724604561,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Civic and Religious Activities,race,-0.1153122220755894,-0.2471195929408659,0.0223222026249199,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Educational Activities,accent,-0.0080487737159546,-0.3028623437453991,0.2887032367319487,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Educational Activities,gender,-0.4702352221730688,-0.7452151424877898,-0.2006064125000266,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Educational Activities,race,-0.1374359770405652,-0.3921243675761972,0.124189213001919,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Finance,accent,-0.0069415718328404,-0.1672291868515553,0.1326917901821359,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Finance,gender,-0.1230462336133858,-0.2682342554892266,0.0242822839060059,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Finance,race,-0.0544350398966732,-0.1960349512800202,0.0892099865046201,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Household Activities,accent,0.0196024586741438,-0.2169949235773081,0.2877068374295917,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Household Activities,gender,-0.1541642807352977,-0.4269768446555367,0.1030642759074661,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Household Activities,race,0.0673554026135886,-0.1948509682577816,0.3333662499695244,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Leisure and Sports,accent,0.0403595905697255,-0.0743915189731429,0.1560534223590276,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Leisure and Sports,gender,-0.0058927949870495,-0.1179418500322915,0.1090448622526257,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Leisure and Sports,race,0.1324721549036379,0.0197746561047704,0.2474866299497444,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Personal Care,accent,-0.2446042702365653,-0.4592309606571592,-0.0433352696604363,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Personal Care,gender,-0.0864500718031373,-0.273671263670123,0.0965484637531546,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Personal Care,race,-0.1556287415352327,-0.3387331673082124,0.0263545673809618,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Purchasing Goods and Services,accent,-0.035939087484681,-0.1850131114581903,0.0828229095268398,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Purchasing Goods and Services,gender,-0.0548265245095207,-0.193574666574068,0.0831209315025404,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Purchasing Goods and Services,race,0.1103819827034564,-0.0157053258696655,0.232553278738061,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Work-related Activities,accent,-0.1971509491221285,-0.4652748385217028,0.0645547273899725,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Work-related Activities,gender,-0.0628636710304826,-0.3193054223168231,0.2015616379429485,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,0.01,Work-related Activities,race,-0.2140783716126788,-0.4827194302989234,0.0476001399399603,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Civic and Religious Activities,accent,0.0869960558329607,-0.0886534696645577,0.2067063088222144,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Civic and Religious Activities,gender,0.013992246646379,-0.1136887684067328,0.1568855398014131,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Civic and Religious Activities,race,0.0424898577565652,-0.2101623234105107,0.1562886127149848,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Educational Activities,accent,-0.0340565096777944,-0.3173078199661192,0.2594659260814683,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Educational Activities,gender,-0.4876173678512925,-0.7542911195541828,-0.2286394485986414,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Educational Activities,race,-0.0933943183173759,-0.3587604060667075,0.1664477323064041,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Finance,accent,-0.0559191159836919,-0.2016672619449441,0.13641503598532,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Finance,gender,-0.1100441101866043,-0.2353709212333423,0.0216520282264089,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Finance,race,-0.0867865628440941,-0.2607608627787285,0.0781810848821363,3,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Household Activities,accent,0.1022603184786497,-0.170860863968339,0.2364466034739077,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Household Activities,gender,0.096542947285324,-0.3830236458050971,0.2461405274675979,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Household Activities,race,0.1440627800433412,-0.1342934482073003,0.2930080369104851,1,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Leisure and Sports,accent,-0.0016576715848559,-0.1182747158233031,0.1318618027264266,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Leisure and Sports,gender,-0.0076018147273225,-0.1147040171074692,0.1035612187879099,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Leisure and Sports,race,0.1255521040321797,-0.0002575972758691,0.2316034445653527,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Personal Care,accent,-0.2552657186799078,-0.4667207132369139,-0.0556707657097557,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Personal Care,gender,-0.0755169790727823,-0.2646722780606731,0.1092793263904082,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Personal Care,race,-0.15741706479761,-0.3442764060090038,0.0248744792545212,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Purchasing Goods and Services,accent,-0.0465564847997306,-0.18532058745522,0.0697904630625964,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Purchasing Goods and Services,gender,-0.0399984722133714,-0.1750100549420318,0.0879385807599594,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Purchasing Goods and Services,race,0.1049868802251665,-0.0101765523768681,0.2307977191362414,5,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Work-related Activities,accent,0.040382944900965,-0.1430105856405083,0.1487872555755186,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Work-related Activities,gender,0.0976515002670708,-0.2184091511100714,0.2130523202582033,2,3,2000
Qwen/Qwen2.5-Omni-7B,direct_audio_response,,Work-related Activities,race,0.038621188567814,-0.2838088256386007,0.2278773166572067,2,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Civic and Religious Activities,accent,-0.0385334202846568,-0.1708034977285226,0.1035740030889712,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Civic and Religious Activities,gender,-0.0926228662902387,-0.2500243224024459,0.0405025822931703,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Civic and Religious Activities,race,-0.0078271357049567,-0.133286688129144,0.1411096812082166,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Educational Activities,accent,,,,0,0,0
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Educational Activities,gender,,,,0,0,0
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Educational Activities,race,,,,0,0,0
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Finance,accent,0.0585744545959364,-0.1142883994088505,0.2405894677594609,2,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Finance,gender,0.0135176454917191,-0.1480859617140929,0.1917353360833197,2,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Finance,race,-0.1829304304477112,-0.3550506072492889,-0.0104359587520965,2,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Household Activities,accent,0.0493490316095065,-0.17214791941464,0.2818788562454474,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Household Activities,gender,0.1167826692157365,-0.1393781249538243,0.3339879383159138,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Household Activities,race,0.1173311432766208,-0.1481643399118304,0.3705214039925398,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Leisure and Sports,accent,0.0872659389550646,-0.0589575486284392,0.2611177525864323,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Leisure and Sports,gender,0.1056889312111094,-0.029299981589521,0.2246415180532158,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Leisure and Sports,race,0.009011278072556,-0.1178244356701576,0.1572040581429234,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Personal Care,accent,-0.013329305203814,-0.1994830259560608,0.2375081145571269,2,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Personal Care,gender,0.0415188668111235,-0.1568434488512943,0.1726789825170582,2,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Personal Care,race,0.1084216547538154,-0.0513098988370329,0.2575153998122418,2,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Purchasing Goods and Services,accent,-0.0093834792745798,-0.1450115747066399,0.1232510410535574,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Purchasing Goods and Services,gender,-0.0674944939131892,-0.1882366159967561,0.0464302932455576,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Purchasing Goods and Services,race,0.0184730800242016,-0.101310421844112,0.1437148228375864,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Work-related Activities,accent,-0.1692268575822667,-0.3029003683056927,0.0656527900312648,1,3,1998
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Work-related Activities,gender,0.1430721813421177,-0.1533530295000516,0.3536448736527894,1,3,1998
Qwen/Qwen2.5-Omni-7B,external_transcript_response,0.01,Work-related Activities,race,-0.2021900781325961,-0.4035343074264673,0.0582451147731341,1,3,1998
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Civic and Religious Activities,accent,0.0177001601608201,-0.1184234853006846,0.1243728667132154,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Civic and Religious Activities,gender,-0.0762383683807854,-0.216054951044511,0.0534953568152311,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Civic and Religious Activities,race,0.043165968030422,-0.0857022453005398,0.1670883053146837,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Educational Activities,accent,-0.2264226797820187,-0.41311759235722,-0.0893534103217604,1,3,1921
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Educational Activities,gender,0.023049714793339,-0.1836081168676648,0.252035334787786,1,3,1921
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Educational Activities,race,-0.2153629976411934,-0.3393213392029845,-0.1225146624681512,1,3,1921
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Finance,accent,-0.0314921713336687,-0.1127277433356478,0.1042114915178058,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Finance,gender,0.0385835337868467,-0.0797489326857513,0.1530440043468867,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Finance,race,-0.0419429590532172,-0.2426366426921595,0.0461137906642076,3,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Household Activities,accent,0.1012279442291137,-0.1383753849383727,0.2228829466382233,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Household Activities,gender,-0.1253493383935771,-0.2355391466394937,0.3015780709306218,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Household Activities,race,0.1357329320893437,-0.1117574308761142,0.2978567206214924,1,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Leisure and Sports,accent,0.0292580673078995,-0.0786854725331527,0.2095881358460695,4,3,2000
Qwen/Qwen2.5-Omni-7B,external_transcript_response,,Leisure and Sports,gender,0.1421775133366264,0.02593813672863,0.2399125066053161,4,3,2000
