axis,asr,group,point,ci_lo,ci_hi,n_clips,n_participants,n_boot_finite,metric
race,audio,Black,0.3069204152830439,0.2976096537691122,0.31705016939269337,6337,234,2000,non_vocal_fraction
race,audio,White,0.2888516325654882,0.28027347301520217,0.2970868495089743,6506,241,2000,non_vocal_fraction
gender,audio,Female,0.28897097310978864,0.28073288101476274,0.29738006431163816,6317,236,2000,non_vocal_fraction
gender,audio,Male,0.30642456473056406,0.29738549064570136,0.31596614421428243,6526,239,2000,non_vocal_fraction
recording_device,audio,Laptop/Computer with built-in microphone,0.30609308929198065,0.29710566569876806,0.3157940333446143,5974,215,2000,non_vocal_fraction
recording_device,audio,Laptop/Computer with external microphone,0.29294651187104925,0.2802038253372605,0.30611884147845275,3191,115,2000,non_vocal_fraction
recording_device,audio,Other (Please specify),0.36170925930246156,0.28280708556449186,0.44353513281400403,106,4,1977,non_vocal_fraction
recording_device,audio,Smartphone,0.28756820964919455,0.2752217270801479,0.30042184051743664,3189,127,2000,non_vocal_fraction
recording_device,audio,Tablet,0.2832684213507764,0.252350654752119,0.31234072220198983,383,14,2000,non_vocal_fraction
english_l1l2,audio,L1 English,0.29688427165388986,0.29056603051639324,0.30333183980990414,12318,456,2000,non_vocal_fraction
english_l1l2,audio,L2 English,0.3185996184390066,0.2858914362090979,0.35149098050150585,525,19,2000,non_vocal_fraction
age,audio,18-24,0.28153005324155905,0.25976622796373877,0.3043916636397338,692,30,2000,non_vocal_fraction
age,audio,25-34,0.2910911040846871,0.2797558267195514,0.30274415883883193,3291,123,2000,non_vocal_fraction
age,audio,35-44,0.2930147545879455,0.27999487614943824,0.30594930472078125,3795,140,2000,non_vocal_fraction
age,audio,45-54,0.3012236417094803,0.28786832021664155,0.31429945244088886,2863,103,2000,non_vocal_fraction
age,audio,55-64,0.3216777828497709,0.3040231183302161,0.3393408615120485,1511,54,2000,non_vocal_fraction
age,audio,65-74,0.30979828075897786,0.28653919152635526,0.3359154610591,634,23,2000,non_vocal_fraction
age,audio,75 or older,0.3192258775593393,0.2813820892882185,0.35706966583046007,57,2,1726,non_vocal_fraction
accent_simplified,audio,SAE,0.29535015198523723,0.2839674292060987,0.3071531995987376,3972,147,2000,non_vocal_fraction
accent_simplified,audio,non-SAE,0.29882972037403976,0.29135945322888335,0.3062112739414312,8871,328,2000,non_vocal_fraction
accent,audio,African American English,0.30395342840176554,0.2932586526284921,0.3150766974982386,4463,164,2000,non_vocal_fraction
accent,audio,"Any non-American accent (British, European, Asian, African, etc)",0.31218439412257243,0.27231393152417277,0.35602628398756836,421,16,2000,non_vocal_fraction
accent,audio,California accent,0.29724280835418176,0.2694539406391904,0.3248202813293952,848,32,2000,non_vocal_fraction
accent,audio,"Latino, Hispanic, or Chicano English",0.30213832678628955,0.24025498332527984,0.3609792744608565,191,7,1996,non_vocal_fraction
accent,audio,Mid Atlantic accent,0.28544141238231197,0.2557858438074391,0.31699111597760304,691,25,2000,non_vocal_fraction
accent,audio,Midland or Northern Midwest accent,0.27762794624815723,0.2591674639482319,0.29637133412166333,931,36,2000,non_vocal_fraction
accent,audio,New England accent,0.3162353841160318,0.28553711523012426,0.3489275181150882,503,18,2000,non_vocal_fraction
accent,audio,New Orleans / Cajun accent,0.3168313809758212,0.26720696514285663,0.35839978196419786,252,9,2000,non_vocal_fraction
accent,audio,Other,0.29775274770957016,0.2315723094935681,0.3576230077341527,134,5,1990,non_vocal_fraction
accent,audio,Pacific Northwest accent,0.3162082181773767,0.2526765584458301,0.3814684385515203,173,6,1995,non_vocal_fraction
accent,audio,Southern accent,0.2959234336651014,0.27897425270300474,0.3125174780808166,2090,77,2000,non_vocal_fraction
