axis,asr,group,point,ci_lo,ci_hi,n_clips,n_participants,n_boot_finite
race,gemini-self,Black,0.033397487206698384,0.027462085399688283,0.04001019308600955,6337,234,2000
race,gemini-self,White,0.030128446471880992,0.02493997575575075,0.03544420555273437,6506,241,2000
race,whisper-1,Black,0.06678598087974746,0.04581845728770588,0.0897132717327272,6337,234,2000
race,whisper-1,White,0.01625937956939349,0.01107293164744432,0.022574510370748757,6506,241,2000
gender,gemini-self,Female,0.033721518529895377,0.027359902770089106,0.04047925560638918,6317,236,2000
gender,gemini-self,Male,0.029830189337145648,0.024936251794723124,0.03517080113856158,6526,239,2000
gender,whisper-1,Female,0.027044974070794862,0.016119313472097507,0.04108617836268129,6317,236,2000
gender,whisper-1,Male,0.05482670246521845,0.037241674519231625,0.07501558862825658,6526,239,2000
recording_device,gemini-self,Laptop/Computer with built-in microphone,0.03372353483396138,0.02695040759290722,0.04067128524366196,5974,215,2000
recording_device,gemini-self,Laptop/Computer with external microphone,0.032238453698571354,0.02476274221116371,0.04072897623701618,3191,115,2000
recording_device,gemini-self,Other (Please specify),0.024871586915382535,0.008064516129032258,0.06344086021505377,106,4,1977
recording_device,gemini-self,Smartphone,0.027473359032111604,0.02151188211014966,0.03350613315501116,3189,127,2000
recording_device,gemini-self,Tablet,0.034256183093392394,0.01531998182032965,0.059014693348538705,383,14,2000
recording_device,whisper-1,Laptop/Computer with built-in microphone,0.06655872843026282,0.0453282907212389,0.09007940824605937,5974,215,2000
recording_device,whisper-1,Laptop/Computer with external microphone,0.02552434423444848,0.01376310459013752,0.043972018924810265,3191,115,2000
recording_device,whisper-1,Other (Please specify),0.006217896728845634,0.002150537634408602,0.014112903225806451,106,4,1977
recording_device,whisper-1,Smartphone,0.013229232508657759,0.009646208027298112,0.017314423884155612,3189,127,2000
recording_device,whisper-1,Tablet,0.019638242894056846,0.008080928223931482,0.033357896830467214,383,14,2000
english_l1l2,gemini-self,L1 English,0.03213694985830779,0.027841261863400125,0.03629060544595194,12318,456,2000
english_l1l2,gemini-self,L2 English,0.02250526202169572,0.01558243066136045,0.029227466381558598,525,19,2000
english_l1l2,whisper-1,L1 English,0.034757966572205194,0.024821391863746028,0.04515149305119407,12318,456,2000
english_l1l2,whisper-1,L2 English,0.19110583409790058,0.07771574541537608,0.3270593945920369,525,19,2000
age,gemini-self,18-24,0.04553508880372523,0.027457243974133457,0.06372446044471336,692,30,2000
age,gemini-self,25-34,0.03985306828003457,0.030856487863600915,0.04904406377918206,3291,123,2000
age,gemini-self,35-44,0.02766235129986049,0.021423445083787462,0.0349229453198887,3795,140,2000
age,gemini-self,45-54,0.03044686038610656,0.02185320095475029,0.0407840398266475,2863,103,2000
age,gemini-self,55-64,0.025437171885032292,0.017280231060339272,0.03515700126056242,1511,54,2000
age,gemini-self,65-74,0.02116590333051714,0.007061809454594034,0.037398284483400934,634,23,2000
age,gemini-self,75 or older,0.01753507014028056,0.0028846153846153848,0.03347280334728033,57,2,1726
age,whisper-1,18-24,0.059834342934849793,0.02019638460573154,0.12852682301991145,692,30,2000
age,whisper-1,25-34,0.06745030250648228,0.03862168637224278,0.10180277077643679,3291,123,2000
age,whisper-1,35-44,0.03645309851337364,0.017700606551950868,0.06049499338553539,3795,140,2000
age,whisper-1,45-54,0.03515328350453655,0.016736064941214816,0.05951069869485282,2863,103,2000
age,whisper-1,55-64,0.013124598708312875,0.007854769173679721,0.02063091242174999,1511,54,2000
age,whisper-1,65-74,0.010227222197518787,0.004681803724211291,0.01822058264367521,634,23,2000
age,whisper-1,75 or older,0.0035070140280561123,0.0028846153846153848,0.0041841004184100415,57,2,1726
accent_simplified,gemini-self,SAE,0.03321833486028401,0.026391415214992428,0.04132202070806279,3972,147,2000
accent_simplified,gemini-self,non-SAE,0.03107762333971944,0.0261635700724167,0.03633069199570682,8871,328,2000
accent_simplified,whisper-1,SAE,0.03045550847457627,0.014638457364018243,0.05056107344265073,3972,147,2000
accent_simplified,whisper-1,non-SAE,0.046002468723078706,0.03272552502737648,0.061034537185129675,8871,328,2000
accent,gemini-self,African American English,0.033902846716259843,0.026184622234232534,0.04249339266123517,4463,164,2000
accent,gemini-self,"Any non-American accent (British, European, Asian, African, etc)",0.016994335221592802,0.009022483246056354,0.025530033619187018,421,16,2000
accent,gemini-self,California accent,0.025522277060374552,0.01610053450995361,0.03647516808739844,848,32,2000
accent,gemini-self,"Latino, Hispanic, or Chicano English",0.010642950867473393,0.004239297501559925,0.0172305863270606,191,7,1996
accent,gemini-self,Mid Atlantic accent,0.03320328712542542,0.02054183819709897,0.048868013894093086,691,25,2000
accent,gemini-self,Midland or Northern Midwest accent,0.0316714468786233,0.017670631670610757,0.049079540635765376,931,36,2000
accent,gemini-self,New England accent,0.04897795130914102,0.02320188375165271,0.08145888153500858,503,18,2000
accent,gemini-self,New Orleans / Cajun accent,0.02489002083815698,0.010520599383004044,0.04070308652309813,252,9,2000
accent,gemini-self,Other,0.01681732184149674,0.0029154518950437317,0.03297735215382942,134,5,1990
accent,gemini-self,Pacific Northwest accent,0.03966386554621849,0.0076256499133448875,0.0782106734950374,173,6,1995
accent,gemini-self,Southern accent,0.02216768916155419,0.015887974811381208,0.02845682353995887,2090,77,2000
accent,gemini-self,Standard American English,0.03207113306335957,0.026625716853784707,0.03840179874367224,5855,221,2000
accent,whisper-1,African American English,0.06606397774687066,0.04193478829870248,0.09300294826493681,4463,164,2000
accent,whisper-1,"Any non-American accent (British, European, Asian, African, etc)",0.1311562812395868,0.026488062579811726,0.28928475755455096,421,16,2000
accent,whisper-1,California accent,0.009160976269352986,0.005369215419550458,0.014303614846178198,848,32,2000
accent,whisper-1,"Latino, Hispanic, or Chicano English",0.009913981629975215,0.005040839900615795,0.015494089299552063,191,7,1996
accent,whisper-1,Mid Atlantic accent,0.018220303810077196,0.011244229814023659,0.026871951561238953,691,25,2000
accent,whisper-1,Midland or Northern Midwest accent,0.016293403307499846,0.007124931082247283,0.031351868483456564,931,36,2000
accent,whisper-1,New England accent,0.04754248966467616,0.01769684349570427,0.0952361642990911,503,18,2000
accent,whisper-1,New Orleans / Cajun accent,0.01898587636026858,0.0047973716842375416,0.039024579586188886,252,9,2000
accent,whisper-1,Other,0.032793777590918644,0.0017053297695606754,0.10177935943060498,134,5,1990
accent,whisper-1,Pacific Northwest accent,0.007563025210084034,0.0027113630761646536,0.012440768203077586,173,6,1995
accent,whisper-1,Southern accent,0.008466257668711657,0.0065848104427947045,0.010759174329759497,2090,77,2000
accent,whisper-1,Standard American English,0.025824141099373355,0.015120832326354434,0.039826778564116566,5855,221,2000
primary_language,gemini-self,Arabic,0.0339943342776204,0.0339943342776204,0.0339943342776204,31,1,1244
primary_language,gemini-self,English,0.031226712624266628,0.027014340247175903,0.03531858490202131,12350,457,2000
primary_language,gemini-self,French,0.08496404080949992,0.014091772965087523,0.1725532170952506,168,6,1996
primary_language,gemini-self,German,0.019042437431991296,0.003115264797507788,0.036571428571428574,53,2,1728
primary_language,gemini-self,Japanese,0.07403189066059225,0.07403189066059225,0.07403189066059225,25,1,1245
primary_language,gemini-self,Other,0.02798246432235799,0.010889269010912871,0.05472082554591399,301,11,2000
primary_language,gemini-self,Polish,0.007234279354479688,0.0022026431718061676,0.012373453318335208,53,2,1699
primary_language,gemini-self,Portuguese,0.07891637220259129,0.07891637220259129,0.07891637220259129,26,1,1253
primary_language,gemini-self,Russian,0.03649893692416726,0.027281279397930385,0.043184885290148446,82,3,1899
primary_language,gemini-self,Signed Language,0.002036659877800407,0.002036659877800407,0.002036659877800407,29,1,1252
primary_language,gemini-self,Spanish,0.01430761369443025,0.005240174672489083,0.025157232704402517,109,4,1965
primary_language,gemini-self,Tagalog,0.03917525773195876,0.03917525773195876,0.03917525773195876,27,1,1247
primary_language,whisper-1,Arabic,0.04060434372049103,0.04060434372049103,0.04060434372049103,31,1,1244
primary_language,whisper-1,English,0.03810420285943019,0.026940121181273993,0.05029586652180105,12350,457,2000
primary_language,whisper-1,French,0.20388024753303227,0.037251655629139076,0.4251051439663539,168,6,1996
primary_language,whisper-1,German,0.004352557127312296,0.002285714285714286,0.006230529595015576,53,2,1728
primary_language,whisper-1,Japanese,0.007972665148063782,0.007972665148063782,0.007972665148063782,25,1,1245
primary_language,whisper-1,Other,0.13636787613095794,0.02833775250590075,0.29147775309932,301,11,2000
primary_language,whisper-1,Polish,0.009460211463550361,0.005506607929515419,0.013498312710911136,53,2,1699
primary_language,whisper-1,Portuguese,0.05182567726737338,0.05182567726737338,0.05182567726737338,26,1,1253
primary_language,whisper-1,Russian,0.013111268603827072,0.010805500982318271,0.015051740357478834,82,3,1899
primary_language,whisper-1,Signed Language,0.003054989816700611,0.003054989816700611,0.003054989816700611,29,1,1252
primary_language,whisper-1,Spanish,0.010986203372508942,0.004761904761904762,0.017316017316017316,109,4,1965
primary_language,whisper-1,Tagalog,0.016494845360824743,0.016494845360824743,0.016494845360824743,27,1,1247
